tweet_id,text,created_at,likes,text length,polarity
1242123434466979841,everyday might good there always something good day could,2020-03-23 16:17:58,1,57,0.39999999999999997
1242123396684697603,next one week,2020-03-23 16:17:49,0,13,0.0
1242123373188124673,imagine people coming self something h,2020-03-23 16:17:44,0,38,0.0
1242086219519012867,never forget remind fight corona,2020-03-23 13:50:06,0,32,0.0
1242123367882330113,they provide food outdoor step well quarante,2020-03-23 16:17:43,0,44,0.0
1242123307903844353,like said total shutdown,2020-03-23 16:17:28,0,24,0.0
1242116441635262467,u bite finger since childhood day never seen big,2020-03-23 15:50:11,0,48,0.0
1242123272805900290,need testing testing testing testing testing army could threat national se,2020-03-23 16:17:20,0,74,0.0
1242069774231887880,wish would much presidential address waiting today,2020-03-23 12:44:45,2,50,0.2
1242099848666636289,mass testing please please way,2020-03-23 14:44:15,0,30,0.0
1242099789694750720,need help mean corona na cure,2020-03-23 14:44:01,1,29,-0.3125
1242099788893564929,money anaemic difficult chose dying hunger,2020-03-23 14:44:01,0,42,-0.5
1242123153939353600,still open whatever need,2020-03-23 16:16:52,0,24,0.0
1242116336739913728,taken since last buy gas different life normal outside,2020-03-23 15:49:46,1,54,0.0375
1242116304934440961,hope see,2020-03-23 15:49:39,6,8,0.0
1242122980433461250,government could fuel order charge fare counter productive,2020-03-23 16:16:10,1,58,0.0
1242122964608434181,safe stop spread could,2020-03-23 16:16:06,1,22,0.5
1242122815823847424,could escapade country urge fellow country people adhere,2020-03-23 16:15:31,1,56,0.0
1242122793627660288,quarante remember issue can see,2020-03-23 16:15:26,1,31,0.0
1242122752032718849,dont understand pleading like fare threaten hi,2020-03-23 16:15:16,1,46,0.0
1242099340342067203,confirmed one case confirmed today,2020-03-23 14:42:14,5,34,0.4
1242122688606482434,eating june watching stop could,2020-03-23 16:15:01,0,31,0.0
1242122607346036737,holy holy could courtesy,2020-03-23 16:14:41,0,24,0.0
1242099288685137920,issue real sash,2020-03-23 14:42:02,1,15,0.2
1242122540321038344,quarante got boxing old face,2020-03-23 16:14:25,1,28,0.1
1242122535526948864,many isolation enough staff,2020-03-23 16:14:24,0,27,0.25
1242085595842838529,revolution were waiting may unravel g feed u,2020-03-23 13:47:37,0,44,0.0
1242122438814715904,time want see coming help poor society see,2020-03-23 16:14:01,0,42,-0.4
1242115601608261634,even cook recipe,2020-03-23 15:46:51,1,16,0.0
1242122388948553730,quarante listen banter lot exclusive music,2020-03-23 16:13:49,0,42,0.0
1242115584365662213,ready quarante starting tomorrow stay indoors,2020-03-23 15:46:47,0,45,0.1
1242099153381085186,impressive seeing valley arcade proper could screening everyone going,2020-03-23 14:41:29,0,69,0.5
1242122307407163393,sale call,2020-03-23 16:13:30,0,9,0.0
1242122278189621254,ask u seek aid patience prayer face world religion,2020-03-23 16:13:23,0,50,0.0
1242122277963038720,fighting could ignorance consider,2020-03-23 16:13:23,0,33,0.0
1242099084632231937,remain low reduce price fuel,2020-03-23 14:41:13,0,28,0.0
1242099069062914062,want start earning daily phone kindly send u chat st,2020-03-23 14:41:09,0,52,0.3
1242115361878786048,county woman recently returned forced quarante freely,2020-03-23 15:45:54,1,53,0.033333333333333326
1242122124329918465,pray medical medical medical medical,2020-03-23 16:12:46,0,36,0.0
1242115278303039494,,2020-03-23 15:45:34,1,0,0.0
1242122030373318657,logic behind gap bathroom,2020-03-23 16:12:24,0,25,-0.4
1242085234184781829,hullabaloo u,2020-03-23 13:46:11,0,12,0.0
1242122000405073922,sale,2020-03-23 16:12:17,0,4,0.0
1242085202790400004,anyone one fierce co thinking co min,2020-03-23 13:46:03,0,36,0.0
1242121877214150659,you right would go,2020-03-23 16:11:47,1,18,0.2857142857142857
1242085097312043008,landscape came call morning found tree outside kitchen window set,2020-03-23 13:45:38,0,65,0.0
1242121756556607489,help scorching sun every day end family,2020-03-23 16:11:18,0,39,0.0
1242085024041775106,could dont ask whatever bob smoking might,2020-03-23 13:45:21,1,41,0.0
1242121709643337728,sale call,2020-03-23 16:11:07,0,9,0.0
1242098707333513217,looming crisis marketing,2020-03-23 14:39:43,0,24,0.0
1242121658363772928,imagine surviving sex die protected handshake,2020-03-23 16:10:55,2,45,0.0
1242121613048414213,meanwhile mute heat pandemonium can explain,2020-03-23 16:10:44,1,43,0.0
1242098591268823040,quarante pray let u follow,2020-03-23 14:39:15,3,26,0.0
1242084785612341248,obligation save let stay home rich mobilized,2020-03-23 13:44:24,1,44,0.375
1242084779010424835,could proverbial last straw broke country awake,2020-03-23 13:44:22,0,47,0.0
1242068055494189069,fast reliable good move especially data information look,2020-03-23 12:37:55,0,56,0.3
1242084745573478400,increase availability clean water reduce bill water curb fast spreading could,2020-03-23 13:44:14,0,77,0.2833333333333333
1242121458811355138,president giving pressed middle crisis talk private sector partnership red,2020-03-23 16:10:07,2,74,0.0
1242084694902157315,today hand shake neighborhood friend like boy go g,2020-03-23 13:44:02,1,50,0.0
1242121385666887681,shutdown deal worse,2020-03-23 16:09:50,2,19,-0.4
1242121306662993927,cause corona see,2020-03-23 16:09:31,1,16,0.0
1242114630828384258,made people bless,2020-03-23 15:43:00,0,17,0.0
1242121275276955648,surely still people coming come,2020-03-23 16:09:24,2,31,0.5
1242098413908492290,government really truthful number,2020-03-23 14:38:33,1,33,0.5
1242121201964777472,believe tramp,2020-03-23 16:09:06,2,13,0.0
1242121197422288900,update could go suspended air depending h,2020-03-23 16:09:05,1,41,0.0
1242098364759621633,even sabine joy closed stay home save shall,2020-03-23 14:38:21,3,43,0.35000000000000003
1242098355058233351,leave alone worst case scenario get point total g mad,2020-03-23 14:38:19,1,53,-0.5416666666666666
1242084535162069004,need update,2020-03-23 13:43:24,3,11,0.0
1242121079663058947,deputy governor people came contact taking avoid,2020-03-23 16:08:37,2,48,0.0
1242114391060942848,one difficult project construct human mind especially manifested,2020-03-23 15:42:02,1,64,-0.16666666666666666
1242098313647833089,two could could,2020-03-23 14:38:09,0,15,0.0
1242114325126447106,quarante order go home people lock hide little,2020-03-23 15:41:47,0,46,-0.1875
1242084432439377925,feel refreshing seeing news everyday use,2020-03-23 13:43:00,0,40,0.15
1242067647010877441,surely president majority dont work need connection let alone g,2020-03-23 12:36:18,1,63,0.5
1242120792726536192,touch hand lady taking carelessness cost u dearly,2020-03-23 16:07:29,0,49,0.0
1242120781007642625,corona time one learn financial discipline accountability,2020-03-23 16:07:26,0,57,0.0
1242067576420806663,stay safe real could,2020-03-23 12:36:01,0,20,0.35
1242120664275996672,reason u stay indoors keep safe search catholic priest,2020-03-23 16:06:58,0,54,0.25
1242098152150310915,also reduce cost data data basically bob expire date,2020-03-23 14:37:31,0,52,0.0
1242120508600188928,public transport scale fare critical time nation th,2020-03-23 16:06:21,0,51,0.0
1242067160962232322,hard headed spring university took home ominous hitchhiker tested positive,2020-03-23 12:34:22,0,74,-0.03219696969696971
1242113897286578182,end day stop write grateful middle could,2020-03-23 15:40:05,0,40,0.0
1242120375091302405,soldier always soldier get could,2020-03-23 16:05:49,1,32,0.0
1242120365251362816,web interconnection beginning look suspect also u,2020-03-23 16:05:47,1,49,0.0
1242067061108609026,pastor came back put mandatory quarante hospital state directive,2020-03-23 12:33:58,0,64,0.0
1242067057799200777,feeding nation accurate information,2020-03-23 12:33:57,1,35,0.4000000000000001
1242120334976913410,afraid could anaemic workplace could,2020-03-23 16:05:39,1,36,-0.6
1242113808757293063,end day stop write grateful middle could,2020-03-23 15:39:44,0,40,0.0
1242120309114839042,simplifies approach self isolation watch video could,2020-03-23 16:05:33,1,52,0.0
1242097958604230656,back mahatma around,2020-03-23 14:36:45,1,19,0.0
1242120275623317507,science prayer stop corona,2020-03-23 16:05:25,0,26,0.0
1242097921937625095,nowadays normal hear like let explain self quarante prime time w,2020-03-23 14:36:36,0,64,0.15
1242120156626792456,work home a,2020-03-23 16:04:57,1,11,0.0
1242097850126868481,stay home god save people,2020-03-23 14:36:19,0,25,0.0
1242120064335216641,middle catastrophe year lord president,2020-03-23 16:04:35,1,38,0.0
1242097819659501572,say stay home offer food u stay home wash,2020-03-23 14:36:11,2,41,0.0
1242120025504387072,god giving second chance think could,2020-03-23 16:04:26,2,36,0.0
1242120003631091719,afraid anaemic workplace could,2020-03-23 16:04:20,0,30,-0.6
1242119965987176448,laugh put total,2020-03-23 16:04:12,0,15,0.15
1242113469207457793,government track could positive got contact go without saying an,2020-03-23 15:38:23,0,64,0.22727272727272727
1242119931875020800,today listening doctor explaining self quarante difficult practice better,2020-03-23 16:04:03,0,73,0.0
1242083723622916096,established catholic priest led mass burial county march,2020-03-23 13:40:11,1,56,0.0
1242097709496111110,replace need different account card cheque,2020-03-23 14:35:45,0,42,0.0
1242119821917069315,said chase paper knew tissue paper,2020-03-23 16:03:37,0,34,0.0
1242119806586945539,afraid could anaemic workplace could,2020-03-23 16:03:34,0,36,-0.6
1242119793785950210,little bring change want local shopkeeper county,2020-03-23 16:03:30,0,48,-0.09375
1242119607617564673,support fight could safety shop alcohol based,2020-03-23 16:02:46,0,45,0.0
1242119603947548674,great job wish government could introduce voluntary testing,2020-03-23 16:02:45,2,59,0.8
1242119567125753864,could could money pa,2020-03-23 16:02:36,0,20,0.0
1242119552185614336,vulnerable people people b basic income vat essential good,2020-03-23 16:02:33,0,58,0.04999999999999999
1242066226190462981,thinking mass burial catholic priest,2020-03-23 12:30:39,2,36,0.0
1242119325349285889,government give u,2020-03-23 16:01:39,0,17,0.0
